semester,study_hours,attendance,assignment,midterm,final,grade
Spring,7.518233597850973,96.91669718756573,86.56920264296787,89.9962043942985,85.6626300106085,A
Spring,1.325171038778079,53.80005460132223,81.08598055192232,71.16505276013999,63.550755402381085,D
Spring,1.7740412401435168,63.38866028930876,71.36456865271393,88.43914285923492,67.46956708506657,C
Fall,7.758269822192751,61.80449199834386,42.404241494718576,63.425436083003305,57.848410675474256,D
Fall,0.5534597310413147,47.21864843014301,73.95929182994271,77.20365962704818,61.572100044878994,D
Spring,4.975702524502992,64.2141249871053,41.46716851791744,60.493192440564194,50.73554943239864,D
Fall,8.705241585729631,65.77083243748918,53.857791872647745,60.97836088322315,63.34494427380762,D
Fall,7.677577758711029,77.49958560859226,89.146370611556,45.54344690092505,69.23108252241448,C
Spring,0.9281257328674719,80.90877455024112,44.41348703544699,63.36307964149463,44.966878136511596,F
Spring,7.481443745774596,46.86310367286999,84.93396950864413,32.216494097868946,61.823072934154425,D
Spring,3.0971191916856675,45.34057949663843,65.25182765163831,49.75735150186004,52.19791004477067,D
Fall,3.7596217468447857,43.423799074137,76.05170812979458,58.93996666893289,61.51591341318056,D
Spring,3.2781700313863906,60.14342120057682,51.662765595230866,72.70610000212983,56.303886301717064,D
Spring,0.44751811598004565,84.29968999367358,88.12489788527868,84.28735677504682,69.85993809609029,C
Spring,0.4635270660782276,72.72343025910104,56.308585351107254,49.54168406446715,43.26716189838622,F
Fall,2.7640001424575376,44.52938542042617,74.56465890199961,75.23212495600598,65.44671382811731,C
Fall,0.3534072678601752,47.08045127042965,42.65212868712362,86.67280536122249,52.43678815505879,D
Spring,2.5538457493767797,55.41076237966393,81.32960975245526,87.93515423064495,72.81359709199364,C
Fall,7.819652535131022,64.38329137589245,45.5686013589526,41.7345634700435,50.56057100186048,D
Fall,4.44386426074561,68.66116512291036,98.73038540348067,50.619495618065855,68.62768093010983,C
Fall,5.780900461830287,80.19475403137125,49.328506252667246,99.34949297968583,71.03300061660181,C
Fall,1.1713073644459215,97.720664978178,59.48705010943641,99.4369319779394,65.91220756384217,C
Spring,4.520704531528809,86.0816797743264,61.394603939171944,47.66165374186582,52.66391213547273,D
Spring,6.919154663866033,99.83676355216632,80.42567236831991,96.15968603019276,84.47245268713714,B
Fall,3.8047412495385835,50.85561184526057,40.529365508458895,57.99254171405441,47.01824538808249,F
Fall,4.185397227052005,58.72314798644476,46.49437686972617,77.49312046044568,57.965793386172756,D
Fall,6.4013748084876045,64.31278492069215,49.0694821519935,39.64818795261194,48.28981765881739,F
Spring,0.9214133368256994,55.93581741356358,60.90936665086959,90.63506468882203,62.460599209528056,D
Fall,8.647476957585669,79.29906647895164,71.98740188599058,52.09114143867694,66.92637124503834,C
Fall,9.150018520571791,61.95670575933262,65.09853738952621,34.578015295953605,58.17065811533551,D
Fall,6.479783667296132,83.25412420649047,62.40219449395387,34.7151933055179,51.806522454380975,D
Fall,2.4805152628617524,50.35605375778073,92.52120592933909,81.30362113139903,74.49096135001875,C
