department,salary,years,performance,training_hours,attrition
HR,45435.524499086285,17,1.817994794761268,25.364442306458148,0
Finance,72043.70334302803,15,2.0779433941673218,60.23005464814784,0
Sales,44681.82018964857,11,3.7199003088271936,62.35401775656016,0
HR,82780.74803074062,9,1.026837968904227,75.38447908341323,0
Sales,32158.361958081146,13,1.9049552680468191,37.24062748949191,0
Finance,119507.90482826297,11,2.3218731635011296,67.51363288190304,0
HR,69747.08466962978,16,1.202819223899148,41.80081905671254,0
IT,84513.3468046156,22,2.747143285774668,34.36865939215921,0
Finance,78043.84132853322,16,2.474584855194695,28.546407040024828,0
Finance,92811.30440361361,10,2.242598203182893,26.670179463447454,0
IT,64618.47995300551,13,1.734078671434498,13.618086097039628,0
Finance,98055.00139608717,6,1.8311125900173209,57.60784171584484,0
Finance,41882.2572198529,2,2.890829112360615,4.54298770919177,0
Finance,67737.5256463114,0,4.214681084524518,33.78048708583279,0
Sales,87420.11574058839,15,3.219224215930463,22.31281823532686,0
HR,117882.22141051729,15,3.614292963663501,9.099887986457613,0
IT,44872.80276680698,16,4.456507543769536,21.82143480337028,0
IT,88694.66346523105,9,2.5237651060524464,16.74531898269776,0
IT,108805.27510138821,16,1.7400277292775574,45.16899209164095,0
Sales,83021.86734982877,9,1.7485843842563717,31.633132920603746,0
HR,72026.98748824885,6,2.6889271971036175,2.3035314542761576,0
HR,102736.55516408462,8,3.394015015146521,20.535508493961583,0
Finance,65785.8215585034,9,4.18011385389579,47.81281241474666,0
Finance,85218.22920792027,20,3.610257854805344,44.10822337974533,0
Finance,44862.18382690723,17,2.1010814503341004,24.307894515504103,0
Finance,85198.30990406705,9,3.4815939677279584,58.50727647407621,0
IT,66088.01301324888,17,3.817333248217906,58.27432967578564,0
HR,75458.04119842962,22,4.8941005237294775,21.4893057059503,0
HR,40751.977150935105,8,3.717117011389984,78.03498032266728,0
HR,92392.20592165827,0,4.547098393315174,15.509999918087356,0
HR,56952.92164719623,1,3.0713667902268353,0.9039417042106113,0
HR,47073.586525985185,9,2.905004115211474,19.321355412271075,0
Sales,39515.58387674033,19,4.896709604455728,2.320164444188455,0
IT,81813.62909351298,0,1.7724357108053974,11.093172507270834,1
Sales,49030.34747055242,4,3.6504108730095344,78.65154798373473,0
Finance,50389.79654196942,3,4.1927972316508075,9.648469581594092,0
Finance,96273.75825894372,7,2.402881598119415,34.849889974822105,0
HR,105364.49179401797,6,4.843963465577271,75.19881112485857,0
IT,65631.51085425718,22,3.192866724494448,68.71672330628732,0
HR,89650.06455445135,15,3.272329273153487,14.879257388119909,0
