timestamp,factory,machine,shift,operator_skill,production_units,target_units,defect_rate,downtime_min,energy_kwh,temperature_c,vibration,efficiency_pct,maintenance_flag
2024-01-01 00:00:00,West Plant,Painter,Day,Junior,61,71,0.030123000378283242,8,140.13046212203963,71.3261473164784,3.477251960222002,85.91549295774648,0
2024-01-01 01:00:00,North Plant,Assembler,Night,Senior,62,61,0.07563527839488568,10,151.2821487734719,70.87591895005086,2.2666639408151767,101.63934426229508,0
2024-01-01 02:00:00,West Plant,Assembler,Day,Senior,65,55,0.031115876756349296,10,111.4437608980831,71.63690348367585,2.576550186962432,118.18181818181819,0
2024-01-01 03:00:00,West Plant,Packer,Day,Junior,61,65,0.04595753479220115,9,127.62866085382214,68.86498302767377,3.1886625717298753,93.84615384615384,0
2024-01-01 04:00:00,North Plant,Cutter,Night,Senior,66,60,0.040949769543113315,4,112.27259334048756,69.86066834310118,4.277272729256685,110.00000000000001,0
2024-01-01 05:00:00,North Plant,Packer,Night,Junior,47,70,0.009753322436108346,7,136.12392991666536,70.314392200297,3.19703824556482,67.14285714285714,0
2024-01-01 06:00:00,West Plant,Assembler,Day,Mid,61,68,0.03390335886684081,14,97.86482187180653,67.7601727384316,2.6936225379023515,89.70588235294117,0
2024-01-01 07:00:00,South Plant,Packer,Night,Mid,46,71,0.006203649019059707,11,125.60005750645242,73.49144254696817,3.9782436743966136,64.7887323943662,0
2024-01-01 08:00:00,West Plant,Packer,Day,Senior,54,69,0.013644104936050772,14,101.0030083697387,70.36193194858741,2.243627849983803,78.26086956521739,0
2024-01-01 09:00:00,West Plant,Assembler,Night,Mid,54,68,0.06300226120862167,8,118.71827771898167,72.30020439152291,2.460540376206417,79.41176470588235,0
2024-01-01 10:00:00,West Plant,Painter,Day,Junior,69,61,0.024212953958972463,8,116.23094172768187,65.34492933183093,2.643860046838215,113.11475409836065,0
2024-01-01 11:00:00,West Plant,Assembler,Day,Senior,55,64,0.007116471043004582,7,121.53599276718084,70.54934626023824,3.8615473516629355,85.9375,0
2024-01-01 12:00:00,North Plant,Painter,Day,Junior,58,73,0.057516693566965066,11,141.80082236510583,76.13296590783786,1.3097326438271044,79.45205479452055,0
2024-01-01 13:00:00,West Plant,Assembler,Night,Senior,51,61,0.06419172274025826,17,128.77652447408857,70.71335076269689,2.877235394063551,83.60655737704919,0
2024-01-01 14:00:00,South Plant,Assembler,Day,Senior,60,69,0.0462461929741924,11,121.58537683745726,79.3731435803478,2.8898633000868577,86.95652173913044,0
2024-01-01 15:00:00,North Plant,Assembler,Day,Senior,68,68,0.07324893061684058,8,121.90503813040932,75.0145527446742,3.595118027413461,100.0,0
2024-01-01 16:00:00,South Plant,Cutter,Day,Senior,53,69,0.06795541272406942,14,123.70624230702028,71.47205968176628,2.1259518527663888,76.81159420289855,0
2024-01-01 17:00:00,South Plant,Painter,Day,Mid,67,73,0.04421703125504357,13,132.7738969079403,70.78987528477806,2.6087919407320985,91.78082191780823,0
2024-01-01 18:00:00,South Plant,Cutter,Night,Mid,63,70,0.05896083158476759,5,126.96012014366387,67.19879769819745,2.8717785460814804,90.0,0
2024-01-01 19:00:00,South Plant,Assembler,Night,Mid,56,56,0.02633934684691985,13,140.78005047280317,79.0600103045872,0.9398770893136219,100.0,0
2024-01-01 20:00:00,North Plant,Packer,Day,Senior,73,56,0.05090279577554032,14,106.25791154674565,76.68176413065498,3.863076546091531,130.35714285714286,0
2024-01-01 21:00:00,North Plant,Cutter,Day,Mid,65,55,0.07815425448493975,9,118.61640675074244,73.05600871323888,3.613842563642171,118.18181818181819,0
2024-01-01 22:00:00,South Plant,Painter,Night,Senior,79,70,0.06398979211209567,17,119.56030748498173,65.12315902639067,2.4412186721046107,112.85714285714286,0
2024-01-01 23:00:00,South Plant,Assembler,Day,Mid,61,73,0.02996293538412977,10,116.67925999931782,70.65748193430771,3.185301157462095,83.56164383561644,0
2024-01-02 00:00:00,North Plant,Cutter,Night,Senior,46,58,0.07458927386696679,14,120.37561829259403,76.16227619474267,3.5410777815325547,79.3103448275862,0
2024-01-02 01:00:00,North Plant,Packer,Day,Mid,67,57,0.06601092544868768,11,126.90836394214787,79.79469265035503,3.7125727392691448,117.54385964912282,0
2024-01-02 02:00:00,North Plant,Cutter,Night,Mid,71,65,0.002977704374125896,15,106.11438945760014,84.31332895207164,3.7130386133065287,109.23076923076923,0
2024-01-02 03:00:00,West Plant,Painter,Day,Mid,61,71,0.059680399284873675,9,86.57608565601214,70.06946750736903,3.486118857572589,85.91549295774648,0
2024-01-02 04:00:00,West Plant,Cutter,Night,Senior,60,59,0.07811194194389148,12,126.0651123321935,75.44281664630947,3.767103601378502,101.69491525423729,0
2024-01-02 05:00:00,West Plant,Packer,Night,Senior,45,63,0.02541652504603069,17,108.60227530527739,67.09454298638008,3.4060725027176995,71.42857142857143,0
2024-01-02 06:00:00,South Plant,Packer,Night,Mid,64,55,0.022026910979240998,9,102.31343047532127,67.96707876926048,2.0756193495380186,116.36363636363636,0
2024-01-02 07:00:00,West Plant,Painter,Day,Senior,56,63,0.051205361180803335,14,117.52960957245197,62.313423861722285,3.1387833294752294,88.88888888888889,0
2024-01-02 08:00:00,South Plant,Packer,Night,Junior,62,58,0.008809759672091237,9,145.60525308689313,72.52046010620775,2.7696766441529324,106.89655172413792,0
2024-01-02 09:00:00,South Plant,Assembler,Night,Mid,58,70,0.05399807342330191,10,143.72066140024333,78.63976382494631,3.087785203793501,82.85714285714286,0
2024-01-02 10:00:00,West Plant,Packer,Day,Mid,52,69,0.01812636373740382,9,117.5980253547898,69.93200620583652,1.9821211432971353,75.36231884057972,0
2024-01-02 11:00:00,South Plant,Assembler,Day,Junior,77,64,0.036122487030804507,8,100.28810176247664,64.50141135770657,1.0854654441303362,120.3125,0
2024-01-02 12:00:00,West Plant,Cutter,Day,Senior,56,59,0.07135761670764569,11,135.28243827959628,69.1770983749954,4.32108070726902,94.91525423728814,0
2024-01-02 13:00:00,West Plant,Assembler,Day,Senior,68,70,0.06374297915169869,11,150.4806764358269,70.47294784324262,3.26975740561728,97.14285714285714,0
2024-01-02 14:00:00,North Plant,Assembler,Night,Senior,54,60,0.008639361487713071,10,146.42928916398904,70.18908620297749,3.6524768155147886,90.0,0
2024-01-02 15:00:00,West Plant,Cutter,Day,Mid,53,70,0.060910752825655896,14,120.20134750309852,75.92511974732396,4.031998628539032,75.71428571428571,0
2024-01-02 16:00:00,North Plant,Packer,Day,Mid,45,58,0.03293686639310239,8,128.22434838248364,82.82735499943928,2.4159087299997264,77.58620689655173,0
2024-01-02 17:00:00,West Plant,Assembler,Day,Mid,57,69,0.07955533537368012,8,127.46517886200218,75.66623037882556,3.21582651022006,82.6086956521739,0
2024-01-02 18:00:00,West Plant,Packer,Day,Mid,54,57,0.023978890901731536,6,123.5728290031213,66.81716439907677,2.950086394913216,94.73684210526315,0
2024-01-02 19:00:00,North Plant,Cutter,Day,Mid,63,73,0.037647932267445894,9,110.85693936904381,63.15481126356208,3.3920317012035515,86.3013698630137,0
2024-01-02 20:00:00,North Plant,Painter,Day,Senior,60,63,0.027294223963286655,7,105.44817698088558,64.93025323967693,1.9027960007751412,95.23809523809523,0
2024-01-02 21:00:00,West Plant,Packer,Day,Junior,70,59,0.046895414340339045,8,134.25456450841037,78.15418322728262,3.3218771100161057,118.64406779661016,0
2024-01-02 22:00:00,South Plant,Packer,Night,Senior,47,70,0.021270058125168793,14,123.65411031537971,67.62002268647213,3.1522495266353627,67.14285714285714,0
2024-01-02 23:00:00,North Plant,Painter,Night,Senior,67,57,0.07301174588335858,7,127.85284508960775,67.44182370156625,2.7944786982071346,117.54385964912282,0
2024-01-03 00:00:00,South Plant,Painter,Night,Mid,62,62,0.049359129966684845,8,114.2226305334448,78.11428945886254,1.7632633107456148,100.0,0
2024-01-03 01:00:00,South Plant,Cutter,Night,Junior,74,68,0.07541678588811643,10,111.12774517906831,61.317015215154896,3.9807330793511806,108.8235294117647,0
