date,platform,content_type,followers,likes,comments,shares,engagement_rate
2024-01-01 00:00:00,Instagram,Text,157298,4303,3419,213,0.050445650930081756
2024-01-01 01:00:00,LinkedIn,Text,173207,3044,364,4013,0.042844688725051525
2024-01-01 02:00:00,Twitter,Video,84674,5290,1263,2390,0.10561683633701018
2024-01-01 03:00:00,Twitter,Video,148020,5257,1511,1422,0.05533036076205918
2024-01-01 04:00:00,Twitter,Video,110054,10990,1548,581,0.11920511748777873
2024-01-01 05:00:00,Instagram,Video,112131,1178,2765,4494,0.07524235046508101
2024-01-01 06:00:00,Instagram,Image,9568,9010,2038,2876,1.455267558528428
2024-01-01 07:00:00,Twitter,Video,31349,10691,2932,4258,0.5703850202558295
2024-01-01 08:00:00,Twitter,Video,87712,2419,1374,401,0.04781557825611091
2024-01-01 09:00:00,Instagram,Video,25926,12408,1238,2559,0.6250482141479595
2024-01-01 10:00:00,Instagram,Text,148951,13526,603,697,0.09953608904941894
2024-01-01 11:00:00,LinkedIn,Video,181139,1483,1441,2094,0.02770248262384136
2024-01-01 12:00:00,Twitter,Text,170905,4448,465,3807,0.05102249787893859
2024-01-01 13:00:00,Instagram,Text,66324,2149,350,4852,0.11083469030818406
2024-01-01 14:00:00,Twitter,Video,147997,6751,2048,2067,0.07342040717041562
2024-01-01 15:00:00,Twitter,Text,17324,3953,111,4050,0.468367582544447
2024-01-01 16:00:00,LinkedIn,Video,189651,12780,1430,3779,0.09485317767899985
2024-01-01 17:00:00,LinkedIn,Image,154070,8024,776,1786,0.06870902836373077
2024-01-01 18:00:00,LinkedIn,Image,56407,14999,3941,252,0.3402414593933377
2024-01-01 19:00:00,Instagram,Image,156602,10100,709,4836,0.09990293865978724
2024-01-01 20:00:00,LinkedIn,Text,54972,6483,9,4685,0.20332169104271267
2024-01-01 21:00:00,Twitter,Video,172081,14733,3921,1175,0.11523061813913216
2024-01-01 22:00:00,LinkedIn,Video,94608,14767,502,4283,0.20666328428885505
2024-01-01 23:00:00,Twitter,Video,197501,2465,3663,2106,0.041690928147199255
2024-01-02 00:00:00,Instagram,Video,2939,617,3623,3472,2.6240217761143247
2024-01-02 01:00:00,LinkedIn,Image,100211,4335,1795,499,0.0661504226082965
2024-01-02 02:00:00,Twitter,Text,28533,6649,1264,2785,0.3749342866154978
2024-01-02 03:00:00,Instagram,Text,159191,8071,3830,220,0.07614123914040366
2024-01-02 04:00:00,LinkedIn,Image,67625,8950,683,1575,0.16573752310536044
2024-01-02 05:00:00,Twitter,Image,34337,3294,2179,2768,0.24000349477240296
2024-01-02 06:00:00,LinkedIn,Image,102943,1477,2812,313,0.04470435095149743
2024-01-02 07:00:00,Twitter,Text,26503,14678,2336,3855,0.7874202920424103
2024-01-02 08:00:00,Twitter,Video,179588,6306,825,1798,0.049719357640822325
2024-01-02 09:00:00,Twitter,Text,20891,5737,1541,437,0.3692977837346226
2024-01-02 10:00:00,LinkedIn,Video,9757,8676,2317,2715,1.4049400430460182
2024-01-02 11:00:00,LinkedIn,Video,79119,6603,934,283,0.09883845852450107
2024-01-02 12:00:00,Instagram,Image,90781,4357,124,129,0.050781551205648756
2024-01-02 13:00:00,Instagram,Video,190699,12597,2437,3378,0.09655006056665216
2024-01-02 14:00:00,LinkedIn,Video,70662,1004,161,3713,0.06903286066060967
2024-01-02 15:00:00,LinkedIn,Text,38051,7044,2654,4350,0.3691887204015663
2024-01-02 16:00:00,Instagram,Text,29932,2600,2609,2158,0.24612454897768274
2024-01-02 17:00:00,Instagram,Image,133523,11220,1804,2101,0.11327636437168129
2024-01-02 18:00:00,Instagram,Text,75810,1965,832,976,0.04976915974145891
2024-01-02 19:00:00,Instagram,Image,12521,9031,2120,4503,1.2502196310198865
2024-01-02 20:00:00,Instagram,Image,172832,12177,91,4477,0.09688599333456767
2024-01-02 21:00:00,Instagram,Text,113569,7180,3199,2450,0.11296216397080189
