tenure,plan,monthly_fee,data_gb,call_minutes,complaints,revenue,churn
17,Standard,51.64199041069043,30.30319286035011,245.40473953398782,1,877.9138369817374,0
31,Premium,45.390620545337335,43.320943472219625,346.2543715884114,0,1407.1092369054575,0
33,Basic,51.084234716491274,17.608148371142587,324.42517317752424,5,1685.779745644212,0
15,Premium,89.66835017121254,32.41354228016243,549.3167386326791,1,1345.025252568188,0
11,Standard,47.32827468666787,17.195819350618716,788.1470848890001,3,520.6110215533465,0
5,Premium,118.49229544112958,8.257589916185495,328.4630156738359,0,592.461477205648,0
12,Basic,64.53895317969963,34.238006658554795,110.1767101200199,1,774.4674381563956,0
59,Premium,71.99000371462294,19.57352173902173,389.39287962516994,2,4247.4102191627535,0
24,Premium,42.225019590590634,9.818725696199875,646.294281821505,0,1013.4004701741752,0
63,Standard,106.08243826401004,25.248359520506128,814.9993864026852,0,6683.193610632632,0
68,Basic,80.8760729252411,15.655499144029394,306.18691095176234,2,5499.572958916395,0
31,Basic,93.61155859961013,10.832482517937702,692.0433060549001,2,2901.958316587914,0
21,Basic,91.5853556769897,5.085853183136367,720.9327619281071,2,1923.292469216784,0
62,Premium,112.1519641837293,11.68004844950909,426.28530625734567,0,6953.421779391217,0
49,Basic,30.164744060321237,13.974053016739925,555.2934613607518,2,1478.0724589557406,0
15,Basic,68.01649576398631,49.07888844006689,539.7337466946565,2,1020.2474364597947,0
10,Basic,67.05680015301948,5.89233105957591,785.6914099492911,1,670.5680015301948,0
40,Standard,99.86296546044149,20.26169768850102,266.59082012773524,1,3994.5186184176596,0
56,Premium,40.8634851523621,43.06923698773211,447.5838414401173,0,2288.3551685322777,0
49,Premium,10.860389412566779,7.479206296640377,374.53758831511044,1,532.1590812157722,0
2,Basic,55.02188772111236,16.77871708715752,88.2609583283441,0,110.04377544222471,0
16,Basic,19.795305864647666,30.29454044816927,114.96319201928355,2,316.72489383436266,0
71,Basic,47.02414776444938,32.80162199125247,322.862709205354,1,3338.714491275906,0
4,Standard,24.037585105470026,10.765467542405688,257.03681145910355,2,96.1503404218801,0
2,Standard,66.64113775406645,49.000487606002494,310.54488876499823,0,133.2822755081329,0
59,Standard,64.61725679738015,1.7017628033857093,880.9957419544351,1,3812.418151045429,0
2,Premium,92.48256519458506,7.402833634955131,354.4905396153862,0,184.96513038917013,0
55,Premium,102.94614274189098,1.8812603409721196,944.9887374205871,1,5662.037850804004,0
2,Premium,96.63741009083384,49.86413211011701,385.457574343942,0,193.27482018166768,0
38,Basic,110.96852870710102,44.399532736508974,619.9158284679801,1,4216.804090869839,0
55,Premium,87.12129613847104,34.964576185518894,221.73865968572701,1,4791.671287615907,0
27,Standard,39.0675843737174,41.764288715605296,153.90998736462808,1,1054.8247780903698,0
1,Basic,33.138756037916295,40.78477744423421,361.5061395274452,1,33.138756037916295,0
49,Premium,80.15342182080335,4.351443911513583,431.00876692652105,1,3927.517669219364,0
5,Basic,79.87598242533652,9.303791573768859,986.6748381536812,2,399.3799121266826,0
48,Premium,38.93815202503183,26.60691046835845,449.42187986435385,3,1869.031297201528,0
54,Standard,26.922022470388484,15.515289584076044,967.8536346231558,3,1453.789213400978,0
68,Basic,77.75244791930591,3.10432630113475,414.6374491050728,2,5287.166458512802,0
